User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
CloudTrail,ASIA5XICGLYF3YYZKYNU,2021-08-21T20:59:14Z,cloudtrail.amazonaws.com,UpdateTrail,us-east-1,73.172.235.27,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:943286803979:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-943286803979-9aa3a984""}]",ec040f1c-dd69-4a9f-95e1-53f258b13821,ad8ed3a2-7952-466c-8c7e-80ef8589a6f6,FALSE,AwsApiCall,943286803979,Management
CloudTrail,ASIA5XICGLYF3YYZKYNU,2021-08-21T20:59:14Z,cloudtrail.amazonaws.com,PutEventSelectors,us-east-1,73.172.235.27,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:943286803979:trail/Udacity_Trail""}]",dac4baf0-12f9-42a8-a361-57b051e9bdb3,d3628f0c-9f7a-4d65-a593-3cff84854af1,FALSE,AwsApiCall,943286803979,Management
CloudTrail,ASIA5XICGLYF3YYZKYNU,2021-08-21T20:59:14Z,cloudtrail.amazonaws.com,PutInsightSelectors,us-east-1,73.172.235.27,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:943286803979:trail/Udacity_Trail""}]",3095ba23-3ac7-4807-b5a2-bfd84567c1eb,f52730b0-0a6e-4193-a009-a9a96c99890c,FALSE,AwsApiCall,943286803979,Management
CloudTrail,ASIA5XICGLYF3YYZKYNU,2021-08-21T20:58:11Z,cloudtrail.amazonaws.com,UpdateTrail,us-east-1,73.172.235.27,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:943286803979:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-943286803979-9aa3a984""}]",d78ac7b3-6bc8-4816-85ca-4be9eca5e4a5,01875ea7-17c3-4d48-b647-f5100f96ae4c,FALSE,AwsApiCall,943286803979,Management
CloudTrail,ASIA5XICGLYF3YYZKYNU,2021-08-21T20:58:11Z,cloudtrail.amazonaws.com,PutInsightSelectors,us-east-1,73.172.235.27,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:943286803979:trail/Udacity_Trail""}]",63a592f5-543d-477d-b150-819a4f0931dd,17701191-9a5e-4ed5-a498-959a36941382,FALSE,AwsApiCall,943286803979,Management
CloudTrail,ASIA5XICGLYF3YYZKYNU,2021-08-21T20:58:11Z,cloudtrail.amazonaws.com,PutEventSelectors,us-east-1,73.172.235.27,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:943286803979:trail/Udacity_Trail""}]",08aac589-0edc-4673-a853-19011a9f22bd,27a2f003-d83b-414f-a58d-701dcb3498ea,FALSE,AwsApiCall,943286803979,Management
CloudTrail,ASIA5XICGLYF3YYZKYNU,2021-08-21T20:56:39Z,s3.amazonaws.com,PutBucketPolicy,us-east-1,73.172.235.27,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.991 Linux/5.4.116-64.217.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation cfg/retry-mode/legacy]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-943286803979-9aa3a984""}]",XE7VA2NQHY20MM0N,0653bacb-efcc-42b9-b15d-213f6ef57c8e,FALSE,AwsApiCall,943286803979,Management
CloudTrail,ASIA5XICGLYF3YYZKYNU,2021-08-21T20:56:39Z,cloudtrail.amazonaws.com,StartLogging,us-east-1,73.172.235.27,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",7ac04c94-c19c-4fa6-9b68-f65cde2a6401,0ce8240a-980d-4ab6-af14-c424dd78dd2e,FALSE,AwsApiCall,943286803979,Management
CloudTrail,ASIA5XICGLYF3YYZKYNU,2021-08-21T20:56:39Z,s3.amazonaws.com,CreateBucket,us-east-1,73.172.235.27,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.991 Linux/5.4.116-64.217.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation cfg/retry-mode/legacy]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-943286803979-9aa3a984""}]",3567BZP0E762XJH6,65efc414-73aa-4f3e-b347-9625a642fed7,FALSE,AwsApiCall,943286803979,Management
CloudTrail,ASIA5XICGLYF3YYZKYNU,2021-08-21T20:56:39Z,cloudtrail.amazonaws.com,CreateTrail,us-east-1,73.172.235.27,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:943286803979:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-943286803979-9aa3a984""}]",a75d9d90-49e9-4b59-a0d2-3792f2631f41,74f62417-a43c-4ce6-8717-c573304868c8,FALSE,AwsApiCall,943286803979,Management
